layer_name,auc_ratio_mean,auc_ratio_sem
layer19,0.76560944,0.0005425037
layer20,0.75632596,0.0001301374
layer21,0.61110264,0.003556435
layer22,0.6733331,0.0012982925
layer23,0.5851006,0.0016245317
layer24,0.48708805,0.0067405626
layer25,0.30920556,0.004420229
layer26,0.25812444,0.004098337
layer27,0.33169267,0.009118457
layer28,0.26719728,0.006456076
layer29,0.25522637,0.0056790593
layer30,0.22918205,0.006781348
layer31,0.20053343,0.004489406
layer32,0.20097451,0.0036431304
layer33a,0.17425843,0.00414799
layer34a,0.19532555,0.0024812585
layer35a,0.1675773,0.0020593875
layer36a,0.23159654,0.002606243
layer37,0.25873947,0.014410395
