layer_name,interocular_corr_mean,interocular_corr_sem
layer19,0.030777486,0.007895958
layer20,-0.19000451,0.0064662956
layer21,-0.07093606,0.008337251
layer22,0.2517934,0.006976622
layer23,0.17799018,0.0065592453
layer24,0.030873707,0.012488732
layer25,0.020015653,0.012103286
layer26,0.22600007,0.009250309
layer27,-0.12581195,0.015775014
layer28,-0.21159434,0.012973233
layer29,-0.14220548,0.0124600595
layer30,-0.22480457,0.011988171
layer31,-0.115849756,0.010956621
layer32,0.09531969,0.010062948
layer33a,0.07453886,0.008528846
layer34a,0.05903894,0.0057495018
layer35a,0.11397788,0.0041947956
layer36a,0.07109176,0.0042688237
layer37,0.1359612,0.017248621
